stem,split,clip_name,start,end,text,emotion,score
5605402620505085829,train,clip_00191.mp4,660.935,662.141,Go on!,anger,0.697893
5589284896700168307,train,clip_00811.mp4,2670.8,2673.84,I'm going to get him burnt at the stake at this rate.,neutral,0.419146
5543321875515499735,train,clip_00199.mp4,1814.402,1819.182,"The Nightingale's song has compass, variety and astonishing power.
clip_00200.mp4	1819.182	1821.712	It arrests attention and compels admiration.",joy,0.544236
5212610251886695418,train,clip_00632.mp4,2967.836,2969.794,All that digging!,anger,0.379697
5205225915444915787,train,clip_00171.mp4,790.929,791.575,Phone.,neutral,0.989613
5496710742138657951,train,clip_00315.mp4,1027.101,1028.806,I didn't want you to die.,sadness,0.599314
5683925789557713461,train,clip_00574.mp4,2760.991,2763.671,"Get this tackle on the way, lass!",anger,0.781996
5179296338055272019,train,clip_00477.mp4,1160.957,1161.816,Barely!,anger,0.386209
5428307374974687947,train,clip_00457.mp4,1301.119,1304.069,The principal slammed my best mate in the cupboard.,anger,0.667438
5594507148265583126,train,clip_00251.mp4,708.106,710.169,And we're gonna dance.,joy,0.928844
5577062278769199363,train,clip_00159.mp4,946.431,948.541,"So, if you could hold him for me.",neutral,0.987696
5572012685752518117,train,clip_00150.mp4,466.927,467.957,That would be great.,joy,0.516336
5218217762018567610,train,clip_00340.mp4,1711.686,1724.396,"At the age of 17, while under the influence of alcohol, subject to the irritations of a short time in his mother's company, ""he inflicted an attack on his mother which led to her death.",sadness,0.679189
5130309229567302144,train,clip_00390.mp4,1794.922,1800.636,"John, the other day, was looking for something, but it's pointless, we can't find anything anymore.",neutral,0.736494
5087953980081062580,train,clip_00270.mp4,1003.134,1009.849,"It's exciting for locals as well, isn't it, because it means they're feeling that money's being put into their area.",joy,0.975471
5443895529278791456,train,clip_00336.mp4,993.55,994.207,Cambridge!,joy,0.486786
5092765202446045704,train,clip_00949.mp4,2597.7,2598.78,Try it again.,neutral,0.981099
5353278591268596822,train,clip_00046.mp4,251.322,252.086,Absolutely.,neutral,0.973871
5092765202446045704,train,clip_00647.mp4,1837.951,1839.432,Open it.,neutral,0.987506
5543440415815874337,train,clip_00429.mp4,1152.142,1153.452,No!,anger,0.641326
5292064999379057426,train,clip_00300.mp4,1543.665,1549.461,"It will be great for nesting in, provide more cover, attract butterflies, it's got good flowers.",joy,0.781166
5681328193337091072,train,clip_00386.mp4,2086.537,2088.17,Lovely to see you.,joy,0.793436
5462505193096609466,train,clip_00230.mp4,916.908,925.208,"Sheep farmers declared war, with traps, guns and poison and the great dingo fence.",neutral,0.570875
5130309229567302144,train,clip_00613.mp4,2770.763,2776.64,It's because of European law that developers have to go to such great lengths to preserve the environment.,neutral,0.977824
5217478167819985703,train,clip_00482.mp4,1398.408,1400.405,Who's feeling guilty for his wife?,neutral,0.331047
5537369050013022027,train,clip_00561.mp4,2041.085,2042.165,Hello.,neutral,0.991958
5330646261102337888,train,clip_00521.mp4,1642.194,1643.238,It's very good.,joy,0.944381
5359203069156701741,train,clip_00184.mp4,782.276,784.906,"Because today is beautiful, isn't it?",joy,0.982049
5602655559389329153,train,clip_01029.mp4,3088.248,3096.458,"You get one of those chocolate oranges, yeah, you break that up into your mix, you add cocoa powder and have a chocolate-orange steamed pudding!",joy,0.477445
5457215940850606719,train,clip_00005.mp4,43.232,45.242,These shells are tough.,neutral,0.969864
5267613321066192461,train,clip_00640.mp4,1996.729,2000.045,"It's not horrible, but it's not ideal.",sadness,0.616991
5667580003022578977,train,clip_00194.mp4,952.73,956.57,"I wish I was going with him, really, cos it's a beautiful village.",joy,0.581758
5340418170727414711,train,clip_00246.mp4,820.93,821.706,Stop it!,anger,0.97136
5224144816887051284,train,clip_00162.mp4,816.523,821.163,"One of our British reptiles is even harder to find, and to love.",neutral,0.761487
5664648687855316647,train,clip_00196.mp4,864.535,865.13,"Stop, Neil!",anger,0.927862
5441295356077792877,train,clip_00045.mp4,116.285,118.653,Screw you...you...,anger,0.505125
5465503509765947292,train,clip_00336.mp4,1021.256,1024.726,This is really fun and Mum and Sar are getting wet!,joy,0.988638
5391889489096391990,train,clip_00416.mp4,3283.994,3288.394,"When I find someone who can do it better than I can, I will leave.",anger,0.368009
5217478167819985703,train,clip_00233.mp4,680.995,687.305,"He is well-established but it's not worth anything like that to me, I'm afraid.",neutral,0.778921
5391495210268399962,train,clip_00129.mp4,880.772,882.782,Thank you.,neutral,0.917979
5354024627918124342,train,clip_00290.mp4,2007.217,2009.047,Lovely to hear enthusiasm.,joy,0.852952
5161832142036290984,train,clip_00211.mp4,1494.351,1497.791,I think it's dying disgracefully.,sadness,0.801379
