sample_id,gold_label,telme_pred,emotrans_pred,eanwh_pred,telme_correct,emotrans_correct,eanwh_correct,sd_id,dialogue_idx,utterance_idx,frame_dir,txt_file,prev_speaker,prev_emotion_jp,prev_emotion_anjs,prev_text,curr_speaker,curr_emotion_jp,curr_text
SD02-02-04J,J,J,N,J,1,0,1,SD02,2,4,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-02-04J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-02.txt,男子生徒,喜び,J,練習は大変だったけど、高校時代のいい思い出になりそうです。,講師,喜び,この調子で試験勉強にも力を入れて、いい成績が出せるようにしようね！
SD02-07-03J,J,J,N,N,1,0,0,SD02,7,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-07-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-07.txt,講師,喜び,J,プレッシャーの中で、よく頑張ったと思うよ！,男子生徒,喜び,大事な時に上手くいかなかったらどうしようかと思ってたけど、上手くいったよ！
SD02-08-02J,J,J,N,J,1,0,1,SD02,8,2,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-08-02J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-08.txt,男子生徒,喜び,J,コンクールで、僕がかいた絵が入選したんです！,講師,喜び,えっ！それはすごいね！
SD02-08-04J,J,J,N,J,1,0,1,SD02,8,4,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-08-04J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-08.txt,男子生徒,喜び,J,自分でも驚きました！,講師,喜び,その絵、見てみたいなぁ。
SD02-12-01J,J,J,A,N,1,0,0,SD02,12,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-12-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-12.txt,,,,,男子生徒,喜び,代打でヒットが打てたよ！
SD02-12-02J,J,J,N,J,1,0,1,SD02,12,2,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-12-02J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-12.txt,男子生徒,喜び,J,代打でヒットが打てたよ！,講師,喜び,素振りの成果があったね。
SD02-15-03J,J,J,N,N,1,0,0,SD02,15,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-15-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-15.txt,講師,喜び,J,逆転？それじゃあ、すごくいい試合だったんだね！私も見たかったなぁ！,男子生徒,喜び,そうなんです。すごい接戦で、自分もプレッシャー、ハンパなかったけど！
SD02-17-02J,J,J,N,J,1,0,1,SD02,17,2,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-17-02J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-17.txt,男子生徒,喜び,J,先生！全国大会決まったよ！,講師,喜び,ほんとに？良かった！
SD02-17-03J,J,J,N,N,1,0,0,SD02,17,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-17-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-17.txt,講師,喜び,J,ほんとに？良かった！,男子生徒,喜び,勉強疎かになりそうだったら、厳しくいってくださいね！
SD02-17-04J,J,J,A,J,1,0,1,SD02,17,4,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-17-04J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-17.txt,男子生徒,喜び,J,勉強疎かになりそうだったら、厳しくいってくださいね！,講師,喜び,今まで以上に厳しくいくよー！
SD02-18-03J,J,J,N,N,1,0,0,SD02,18,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-18-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-18.txt,講師,喜び,J,すごいじゃない。,男子生徒,喜び,いっぱい、盗塁の練習したんだよ。
SD02-23-03J,J,J,S,N,1,0,0,SD02,23,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-23-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-23.txt,講師,喜び,J,おめでとう！,男子生徒,喜び,かなり練習したから、嬉しさもハンパないよ。
SD02-24-02J,J,J,N,A,1,0,0,SD02,24,2,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-24-02J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-24.txt,男子生徒,喜び,J,先生！この前部活の試合で勝ったんだ！,講師,喜び,文武両道だね！
SD02-25-03J,J,J,N,N,1,0,0,SD02,25,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-25-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-25.txt,講師,喜び,J,えーっ！すごいじゃん！メッシかロナウド並みじゃん！,男子生徒,喜び,いやぁ、それは褒めすぎだけどさ。僕って、サッカーの才能、結構あるのかな、って思っちゃうよ。
