Utterance,Speaker,Dialogue_ID,Start_Time,End_Time,Wav_Path,Video_Path,Emotion,Utterance_ID
Excuse me.,Ses01F_impro01_F000,0,6.2901,8.2357,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,neu,0
Do you have your forms?,Ses01F_impro01_M000,0,7.5712,10.475,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M000.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,1
Yeah.,Ses01F_impro01_F001,0,10.01,11.3925,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,neu,2
Let me see them.,Ses01F_impro01_M001,0,10.9266,14.6649,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M001.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,3
Is there a problem?,Ses01F_impro01_F002,0,14.8872,18.0175,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,neu,4
Who told you to get in this line?,Ses01F_impro01_M002,0,16.8352,19.7175,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M002.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,5
Okay. But I didn't tell you to get in this line if you are filling out this particular form.,Ses01F_impro01_M003,0,23.47,28.03,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M003.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,6
Well what's the problem?  Let me change it.,Ses01F_impro01_F005,0,27.46,31.49,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,neu,7
This form is a Z.X.four.,Ses01F_impro01_M004,0,28.395,31.2117,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M004.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,8
"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",Ses01F_impro01_M005,0,31.266,39.3875,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M005.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,9
What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,Ses01F_impro01_F006,0,38.965,43.59,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F006.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,10
No. I need another set of ID to prove this is actually you.,Ses01F_impro01_M006,0,41.23,46.98,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M006.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,11
How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,Ses01F_impro01_F007,0,46.58,52.19,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F007.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,12
I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,Ses01F_impro01_M007,0,51.4,57.64,../datasets/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M007.wav,../datasets/IEMOCAP/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru,13
