sample_id,gold_label,telme_pred,emotrans_pred,eanwh_pred,telme_correct,emotrans_correct,eanwh_correct,sd_id,dialogue_idx,utterance_idx,frame_dir,txt_file,prev_speaker,prev_emotion_jp,prev_emotion_anjs,prev_text,curr_speaker,curr_emotion_jp,curr_text
SD02-01-01J,J,J,J,N,1,1,0,SD02,1,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-01-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-01.txt,,,,,男子生徒,喜び,大会、優勝したんだよ！
SD02-01-03J,J,J,J,N,1,1,0,SD02,1,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-01-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-01.txt,講師,喜び,J,おめでとう！すごいね！,男子生徒,喜び,ありがとう！次の大会もがんばるよ！
SD02-02-01J,J,J,J,N,1,1,0,SD02,2,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-02-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-02.txt,,,,,男子生徒,喜び,高校最後の部活で予想以上の成績が出せて、ものすごくうれしかったです。
SD02-02-03J,J,J,J,N,1,1,0,SD02,2,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-02-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-02.txt,講師,喜び,J,優勝なんてすごいね！試験勉強もあるのに部活も頑張ってて、えらい、えらい！,男子生徒,喜び,練習は大変だったけど、高校時代のいい思い出になりそうです。
SD02-03-01J,J,J,J,N,1,1,0,SD02,3,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-03-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-03.txt,,,,,男子生徒,喜び,試合に勝って、ヤバいくらいうれしいんですけど。
SD02-03-03J,J,J,J,N,1,1,0,SD02,3,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-03-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-03.txt,講師,喜び,J,すごいじゃん！それはヤバいね！,男子生徒,喜び,もうほんと、信じられないくらい嬉しい！
SD02-04-01J,J,J,J,N,1,1,0,SD02,4,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-04-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-04.txt,,,,,男子生徒,喜び,新人戦、勝てたんだー！
SD02-04-02J,J,J,J,N,1,1,0,SD02,4,2,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-04-02J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-04.txt,男子生徒,喜び,J,新人戦、勝てたんだー！,講師,喜び,おー！凄いじゃない！
SD02-04-03J,J,J,J,N,1,1,0,SD02,4,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-04-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-04.txt,講師,喜び,J,おー！凄いじゃない！,男子生徒,喜び,2位だけど、満足！
SD02-05-01J,J,J,J,N,1,1,0,SD02,5,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-05-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-05.txt,,,,,男子生徒,喜び,今日、試合があって勝った！俺も活躍したんで、凄い嬉しい！
SD02-05-03J,J,J,J,N,1,1,0,SD02,5,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-05-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-05.txt,講師,喜び,J,良かったじゃない！日頃の練習のおかげだね！,男子生徒,喜び,うん。本当に頑張った！勉強も同じように頑張る！
SD02-06-01J,J,J,J,N,1,1,0,SD02,6,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-06-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-06.txt,,,,,男子生徒,喜び,聞いてください！地区大会、優勝できたんです。
SD02-06-02J,J,J,J,N,1,1,0,SD02,6,2,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-06-02J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-06.txt,男子生徒,喜び,J,聞いてください！地区大会、優勝できたんです。,講師,喜び,それはおめでとう！強豪が多い地区なんだって？
SD02-06-03J,J,J,J,N,1,1,0,SD02,6,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-06-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-06.txt,講師,喜び,J,それはおめでとう！強豪が多い地区なんだって？,男子生徒,喜び,そうなんですよ。強豪ばっかりだから、無理だろうって思ってたのに、ほんと自分たちでも、まだ信じられません。
SD02-06-04J,J,J,J,N,1,1,0,SD02,6,4,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-06-04J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-06.txt,男子生徒,喜び,J,そうなんですよ。強豪ばっかりだから、無理だろうって思ってたのに、ほんと自分たちでも、まだ信じられません。,講師,喜び,頑張って練習した成果が出て良かったね！この調子でこれからも頑張ってね！
SD02-07-01J,J,J,J,N,1,1,0,SD02,7,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-07-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-07.txt,,,,,男子生徒,喜び,試合で結果を出せて、本当に良かった。
SD02-07-03J,J,J,N,N,1,0,0,SD02,7,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-07-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-07.txt,講師,喜び,J,プレッシャーの中で、よく頑張ったと思うよ！,男子生徒,喜び,大事な時に上手くいかなかったらどうしようかと思ってたけど、上手くいったよ！
SD02-08-01J,J,J,J,N,1,1,0,SD02,8,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-08-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-08.txt,,,,,男子生徒,喜び,コンクールで、僕がかいた絵が入選したんです！
SD02-08-03J,J,J,J,N,1,1,0,SD02,8,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-08-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-08.txt,講師,喜び,J,えっ！それはすごいね！,男子生徒,喜び,自分でも驚きました！
SD02-09-01J,J,J,J,N,1,1,0,SD02,9,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-09-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-09.txt,,,,,男子生徒,喜び,先生、俺、サッカーの試合で優勝できたから、今度、全国大会に出場できるんだよ。今まで頑張ってきた甲斐があって嬉しいよ。
SD02-09-03J,J,J,J,N,1,1,0,SD02,9,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-09-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-09.txt,講師,喜び,J,えー、そうなの？それは凄いねー！良かったねー、おめでとう！今度は、全国大会でも優勝できるように頑張ってね！,男子生徒,喜び,ありがとう。うん、俺、今まで以上にサッカーの技術を高めるために、練習を頑張るよ！あ、でもちゃんと勉強もするから、心配しないでね。
SD02-10-01J,J,J,J,N,1,1,0,SD02,10,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-10-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-10.txt,,,,,男子生徒,喜び,野球の地区大会で、初めて決勝進出決めました！
SD02-10-03J,J,J,J,N,1,1,0,SD02,10,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-10-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-10.txt,講師,喜び,J,すごいじゃん！よく頑張ったね！,男子生徒,喜び,まじで嬉しいです！
SD02-11-01J,J,J,J,N,1,1,0,SD02,11,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-11-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-11.txt,,,,,男子生徒,喜び,やったよ！コンクール優勝したよ！
SD02-11-03J,J,J,J,N,1,1,0,SD02,11,3,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-11-03J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-11.txt,講師,喜び,J,すごいわね！練習頑張った甲斐があったね！,男子生徒,喜び,まさか優勝できるとは。ラッキーだ！
SD02-12-01J,J,J,A,N,1,0,0,SD02,12,1,/raid_zoe/home/lr/wangyi/sign/eJSL_dial/frame/SD02-12-01J,/raid_elmo/home/lr/wangyi/PTR/STUDIES-Japanese/Short_dialogue/SD02/txt/SD02-Dialogue-12.txt,,,,,男子生徒,喜び,代打でヒットが打てたよ！
